FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths,Confirmed
37001,Alamance County,NC,71.3,132145.0,133,22436
10003,New Castle County,DE,78.9,439354.0,361,62507
06083,Santa Barbara County,CA,81.8,347943.0,139,54038
22043,Grant Parish,LA,52.5,17699.0,16,2374
54063,Monroe County,WV,57.3,10695.0,15,2087
48277,Lamar County,TX,49.5,38086.0,38,3123
16079,Shoshone County,ID,52.7,10245.0,10,717
05009,Boone County,AR,46.2,28890.0,41,3100
48011,Armstrong County,TX,53.2,1461.0,2,191
18109,Morgan County,IN,65.9,54681.0,84,6023
41059,Umatilla County,OR,67.9,58394.0,49,8356
01049,DeKalb County,AL,42.7,54392.0,55,6265
40107,Okfuskee County,OK,57.4,9255.0,13,1180
20011,Bourbon County,KS,46.8,10824.0,12,1876
06031,Kings County,CA,61.2,111597.0,65,23836
28141,Tishomingo County,MS,47.8,15220.0,24,2523
48311,McMullen County,TX,55.5,596.0,1,51
13031,Bulloch County,GA,39.9,63851.0,43,4667
46063,Harding County,SD,25.0,988.0,0,39
